epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.26279,0.8558,1.52108,3.9853,1.15729,0.32313,0.53462,0.23422,0.16504,0.32313,0.53462,0.24165,0.16296,0.57483,0.6791,4.54137,1.04008,6.668e-05,6.668e-05,6.668e-05
2,6.17175,0.62879,1.14557,2.82398,1.01057,0.55382,0.79231,0.69374,0.58329,0.53787,0.77308,0.68857,0.46831,0.50892,0.90325,2.91436,0.8125,0.000149287,0.000149287,0.000149287
3,8.48302,0.55041,0.73023,1.48131,0.90905,0.64418,0.9096,0.84019,0.69572,0.64418,0.9096,0.84019,0.51768,0.61234,1.51827,2.95811,0.83659,0.00023107,0.00023107,0.00023107
4,10.631,0.61826,0.78158,1.16324,0.94445,0.6379,0.68846,0.70793,0.6178,0.61435,0.66923,0.68766,0.50029,0.64712,1.13747,2.39017,0.89746,0.000312027,0.000312027,0.000312027
5,12.6797,0.63699,0.69466,1.16211,0.94293,0.47431,0.59131,0.60078,0.47373,0.53869,0.65,0.70278,0.4665,0.73503,1.16428,2.9863,0.93825,0.000392158,0.000392158,0.000392158
6,14.7126,0.59336,0.59431,1.10669,0.9257,0.71585,0.85,0.84309,0.69828,0.69366,0.81154,0.80109,0.57333,0.67189,1.53632,2.55111,0.86609,0.000471465,0.000471465,0.000471465
7,16.7872,0.59522,0.8262,1.06422,0.91463,0.63937,0.68652,0.74137,0.51175,0.57149,0.65052,0.65372,0.36016,0.8664,1.76087,2.56616,1.0114,0.000549947,0.000549947,0.000549947
8,18.7711,0.62861,0.65577,1.09248,0.92673,0.7238,0.80738,0.79922,0.61552,0.69821,0.76892,0.77814,0.50346,0.77749,1.88411,1.98955,0.96572,0.000627603,0.000627603,0.000627603
9,20.7686,0.70437,0.69996,0.94915,0.95262,0.68105,0.62089,0.66737,0.47366,0.61119,0.5223,0.60977,0.30118,1.17311,3.45859,2.18741,1.24518,0.000704434,0.000704434,0.000704434
10,22.7496,0.66427,0.59435,0.88215,0.93127,0.79851,0.61941,0.71347,0.49604,0.74484,0.58846,0.67395,0.38278,1.12664,3.0758,1.73107,1.16746,0.00078044,0.00078044,0.00078044
11,24.736,0.78203,0.66621,0.93543,1.00193,0.84922,0.5169,0.65311,0.47164,0.73534,0.47844,0.64356,0.33794,1.14479,3.12475,2.02073,1.26719,0.000855621,0.000855621,0.000855621
